"NatM_p_1_Fem_GP_1","SR_LN(R0)","SR_BH_steep","Q_extraSD_Acoustic_Survey(2)","ln(EffN_mult)_1","ln(EffN_mult)_2"
0.271333,15.4515,0.788295,0.276983,-0.652748,2.02251
0.216038,14.7127,0.798166,0.248671,-0.536091,2.31854
0.242562,14.9742,0.803609,0.277094,-0.673937,4.08871
0.249569,14.7114,0.814405,0.186209,-0.732904,1.97495
0.222739,14.8943,0.739744,0.351726,-0.567994,2.50258
0.202575,13.9565,0.866245,0.166457,-0.557058,3.21008
0.23788,14.5253,0.883762,0.191041,-0.516364,1.39184
0.250885,14.7613,0.940436,0.320791,-0.503883,2.43706
0.228735,14.728,0.8467,0.27367,-0.602559,2.90919
0.220598,14.1828,0.764351,0.196725,-0.450657,3.2806
0.244953,15.1634,0.70835,0.452826,-0.571365,2.70159
0.253733,15.5118,0.622537,0.367536,-0.474295,2.22193
0.176503,14.5704,0.679537,0.347377,-0.608826,2.21205
0.218673,14.7735,0.790418,0.482397,-0.549474,2.48885
0.226046,14.6703,0.959365,0.38008,-0.483399,2.36639
0.226036,14.5649,0.924348,0.195883,-0.463086,1.60684
0.221053,14.5288,0.587442,0.40631,-0.61271,1.66332
0.2132,14.425,0.779203,0.237814,-0.357218,1.77252
0.187944,14.3332,0.940682,0.336333,-0.377923,1.51427
0.222878,14.3853,0.74475,0.245513,-0.506749,1.68264
0.242894,14.76,0.950697,0.25545,-0.519304,2.44548
0.159275,13.6625,0.920151,0.226371,-0.601598,2.44379
0.205256,14.5533,0.793476,0.301744,-0.502832,2.39454
0.226255,14.7773,0.85987,0.375724,-0.532991,1.67874
0.23212,14.6939,0.79154,0.207612,-0.546742,1.74893
0.229208,14.8789,0.670371,0.226938,-0.651466,1.9659
0.225661,14.8025,0.830217,0.244636,-0.754845,1.77594
0.20476,14.6365,0.6684,0.262137,-0.550358,2.8018
0.232252,14.8603,0.878814,0.429134,-0.38401,2.70554
0.206021,14.5924,0.860695,0.271042,-0.294498,2.17672
0.248909,15.357,0.754426,0.324138,-0.46822,1.60566
0.245662,14.8588,0.850333,0.435568,-0.660648,2.28204
0.186864,14.3322,0.886632,0.303347,-0.683812,2.16395
0.22504,14.4619,0.752986,0.447825,-0.610911,2.48956
0.255331,14.8144,0.885699,0.345217,-0.542262,1.69148
0.215795,14.1197,0.812025,0.598188,-0.460927,2.03144
0.247228,14.8973,0.674087,0.379817,-0.634316,1.38423
0.261235,15.1153,0.924529,0.312916,-0.629756,1.09196
0.241896,15.0339,0.878026,0.28864,-0.685532,2.15619
0.21406,14.5079,0.807861,0.283771,-0.585208,2.21502
0.234691,14.7131,0.851543,0.264381,-0.5683,2.80838
0.213411,14.4457,0.856619,0.272851,-0.733421,2.51076
0.201607,14.5506,0.821352,0.566537,-0.607146,1.90906
0.210688,14.3688,0.829876,0.389466,-0.618225,3.41866
0.237602,14.8499,0.793684,0.277749,-0.647398,3.7849
0.224275,14.8239,0.723451,0.212742,-0.765383,1.62361
0.233482,14.7685,0.665052,0.192297,-0.651467,2.86519
0.203113,14.332,0.850441,0.427786,-0.479484,2.45647
0.224653,14.6696,0.886404,0.257387,-0.554158,1.64167
0.260022,14.9912,0.791013,0.262038,-0.461254,1.75649
0.23409,14.7315,0.636708,0.340921,-0.334368,1.7067
0.230272,14.4056,0.83312,0.2532,-0.615104,1.52819
0.236955,15.0164,0.764209,0.300004,-0.637403,1.33776
0.246427,14.836,0.668337,0.359364,-0.581823,1.29302
0.21165,14.6911,0.786675,0.493233,-0.631071,3.32571
0.196592,14.2928,0.915877,0.373073,-0.494477,2.07664
0.233776,14.7333,0.733334,0.231539,-0.673448,3.05988
0.223198,14.4702,0.879581,0.199065,-0.483014,3.54531
0.220252,14.9869,0.878229,0.353599,-0.540433,2.01747
0.253646,14.9035,0.844836,0.300928,-0.580109,1.85321
0.263214,15.083,0.761385,0.300912,-0.528916,4.40272
0.220052,14.5409,0.852265,0.152623,-0.411748,1.91294
0.224287,14.3361,0.676292,0.168466,-0.524109,3.80123
0.21544,14.432,0.880882,0.238332,-0.491848,2.46335
0.209517,14.1687,0.694153,0.475907,-0.697466,2.78019
0.256635,15.1853,0.823031,0.19544,-0.512066,2.09385
0.226214,14.8219,0.782845,0.328514,-0.665006,4.17169
0.232174,14.9356,0.633949,0.492001,-0.608676,3.51941
0.270315,15.3515,0.641429,0.233447,-0.691104,1.70922
0.222656,14.6466,0.600877,0.460549,-0.419896,3.79819
0.216594,15.064,0.810439,0.319559,-0.627829,2.02264
0.252123,14.7974,0.937439,0.163464,-0.541285,2.23035
0.208827,14.5393,0.720016,0.34489,-0.512375,2.41009
0.202352,14.3787,0.90327,0.306266,-0.610326,2.54267
0.226798,14.6572,0.740917,0.270756,-0.866483,1.83283
0.214817,14.7084,0.791933,0.252563,-0.462883,2.76384
0.185654,14.3653,0.912682,0.262669,-0.450441,1.74481
0.229127,14.5915,0.845299,0.195004,-0.610522,1.68616
0.222285,14.5313,0.94324,0.423136,-0.521647,3.86634
0.253344,15.0123,0.886246,0.211309,-0.434167,4.99872
0.229179,14.8098,0.733313,0.194216,-0.53779,2.51764
0.21346,14.6771,0.782661,0.331493,-0.674658,2.29064
0.222737,14.3403,0.934651,0.179445,-0.62141,1.89149
0.19614,14.547,0.769461,0.234721,-0.719732,1.94835
0.215903,14.2334,0.795134,0.410119,-0.561844,3.70248
0.248773,14.8459,0.822736,0.302164,-0.642773,2.45871
0.214696,14.3693,0.862008,0.179804,-0.803363,1.42871
0.240317,14.9094,0.955098,0.292318,-0.577994,1.0589
0.253261,14.7999,0.607046,0.216556,-0.406254,3.06162
0.206665,14.6171,0.81589,0.343767,-0.577498,2.59087
0.216174,14.1493,0.910052,0.500338,-0.641265,2.36715
0.231266,14.8055,0.834186,0.568461,-0.420617,1.97936
0.21642,14.2843,0.828857,0.189677,-0.578703,3.2165
0.247839,15.1181,0.731862,0.220887,-0.68546,3.02812
0.238103,14.9455,0.76023,0.4201,-0.517668,1.97148
0.196115,14.4226,0.662392,0.324413,-0.67306,5.05349
0.223452,14.6717,0.77765,0.267617,-0.590207,2.09521
0.215563,14.9003,0.898689,0.255257,-0.621714,1.89912
0.222007,14.4809,0.694819,0.322436,-0.412699,2.74678
0.24967,14.8557,0.926198,0.266698,-0.476799,2.42097
0.209844,14.5447,0.930975,0.453217,-0.454763,3.81038
0.278086,15.19,0.72671,0.310175,-0.52508,2.2656
0.24769,15.1719,0.80399,0.381998,-0.603278,1.18925
0.205668,14.474,0.700767,0.266547,-0.56806,4.47137
0.20761,14.3887,0.87795,0.237542,-0.383918,3.41491
0.225752,14.4727,0.763411,0.277672,-0.57467,2.53301
0.245996,14.6208,0.600904,0.288021,-0.427237,2.33888
0.238434,14.8231,0.533,0.292725,-0.389709,1.45285
0.269754,15.2367,0.849809,0.475795,-0.59372,2.28194
0.237604,14.7333,0.841474,0.249056,-0.652533,2.44249
0.212305,14.5871,0.896504,0.213124,-0.598792,5.18196
0.230178,15.0044,0.920655,0.154776,-0.570551,2.9072
0.248327,15.145,0.848474,0.358901,-0.528312,4.12718
0.247675,14.6078,0.89754,0.261342,-0.746872,1.40385
0.232942,14.3535,0.698945,0.175889,-0.474937,2.05013
0.204083,14.5081,0.872477,0.223198,-0.555487,4.10236
0.220712,14.5811,0.834682,0.244634,-0.68348,2.52396
0.229213,14.6118,0.661077,0.27197,-0.586606,1.36228
0.237725,14.9599,0.742133,0.153281,-0.668481,1.8223
0.196012,14.5281,0.866482,0.385704,-0.739043,2.29566
0.223973,14.7328,0.772814,0.157962,-0.496236,2.64488
0.203004,14.4853,0.902071,0.321363,-0.355772,2.7132
0.235142,14.662,0.848152,0.219059,-0.502945,1.72119
0.211241,14.6249,0.838087,0.8431,-0.357675,2.92128
0.241825,14.9212,0.919445,0.332695,-0.653921,3.61481
0.238286,15.2842,0.85258,0.443757,-0.521156,2.26829
0.237661,14.9507,0.894788,0.396517,-0.539118,2.89348
0.216559,14.7008,0.786109,0.301221,-0.480636,2.72082
0.209758,14.4596,0.71817,0.4177,-0.762601,2.46067
0.21131,14.7279,0.849602,0.240024,-0.437689,2.31149
0.247548,14.9968,0.740827,0.448222,-0.617257,1.92852
0.258137,15.1328,0.781871,0.197067,-0.567815,1.57421
0.235332,14.7663,0.892451,0.235059,-0.70671,3.60082
0.229323,14.449,0.830944,0.217422,-0.674414,1.65879
0.240698,14.5571,0.885271,0.258597,-0.43648,1.53441
0.191122,14.1078,0.926502,0.288533,-0.441595,1.61178
0.230764,14.8706,0.72498,0.231744,-0.397691,1.69485
0.272604,15.3475,0.842728,0.269752,-0.615124,1.27138
0.244277,14.7393,0.644251,0.272026,-0.578499,2.47594
0.260472,15.202,0.853659,0.416654,-0.798093,5.11136
0.277442,15.307,0.832672,0.414037,-0.65382,1.87339
0.215913,14.7431,0.779448,0.133542,-0.530764,2.98445
0.220249,14.0475,0.780443,0.276337,-0.553029,5.09487
0.206057,14.2525,0.904757,0.258609,-0.655525,4.26834
0.219402,14.6145,0.888264,0.356082,-0.557238,3.04176
0.211218,14.6949,0.860396,0.210519,-0.560411,3.98154
0.215075,14.8841,0.534569,0.235175,-0.551472,2.79926
0.197672,15.0374,0.706231,0.349757,-0.415859,1.74878
0.258398,15.1624,0.791442,0.271654,-0.847911,1.83337
0.246919,14.8476,0.748138,0.251306,-0.698792,1.11361
0.207914,14.1701,0.88853,0.269278,-0.697744,1.90124
0.244399,15.008,0.686205,0.36063,-0.463369,2.40126
0.227977,14.486,0.949823,0.274518,-0.591053,1.79329
0.207322,14.5294,0.70747,0.28029,-0.686933,1.91973
0.280746,15.3977,0.827023,0.377915,-0.552784,2.30743
0.212399,14.6049,0.799297,0.271024,-0.640053,1.47571
0.208074,14.7216,0.862742,0.229567,-0.582859,1.64226
0.238957,14.8841,0.870905,0.291309,-0.405827,2.60991
0.23899,14.9908,0.833533,0.221459,-0.749209,2.14129
0.240997,15.2431,0.78572,0.358671,-0.556237,3.55029
0.241566,14.2665,0.761523,0.277628,-0.583148,2.84487
0.202788,14.3131,0.831501,0.472802,-0.607065,2.93783
0.209355,14.4209,0.829752,0.360883,-0.561032,2.11085
0.195456,14.8868,0.739358,0.279368,-0.674977,4.02592
0.25079,15.036,0.972284,0.301692,-0.761471,2.78014
0.213133,15.0863,0.765908,0.383136,-0.595769,1.33271
0.238531,15.0328,0.761884,0.537188,-0.692039,3.17763
0.258578,14.9153,0.662689,0.308032,-0.598306,1.65783
0.236135,14.642,0.640541,0.214219,-0.546074,3.86908
0.215678,14.5469,0.664863,0.24819,-0.500565,3.77822
0.214918,14.7432,0.652412,0.332251,-0.506764,2.3926
0.241164,14.7258,0.849232,0.280978,-0.482498,1.75843
0.220148,14.6388,0.840242,0.20337,-0.64009,1.84146
0.231512,14.5015,0.411535,0.221716,-0.504738,3.40345
0.25304,15.1195,0.690711,0.18167,-0.545049,1.36516
0.223848,14.4797,0.936543,0.257556,-0.596876,2.95748
0.210396,14.2965,0.950579,0.212071,-0.608669,2.11582
0.223888,14.3923,0.877689,0.492917,-0.623826,1.86408
