# The values in this file come from the Report.sso file in the base model of the 2019 hake
# assessment. They can also be found in Appendix E of the assessment document. The exception is
# the value of 0 for the survey age 2 which were not estimated but is an assumption of the survey
# and it makes the code less fragile.

value,source,age
2.4716,fish,2
0.908428,fish,3
0.399418,fish,4
0.215115,fish,5
0.474583,fish,6
0,survey,2
0.58455,survey,3
-0.229081,survey,4
0.283525,survey,5
0.385017,survey,6
